success,total_time,mouse_move_count,avg_mouse_speed,max_mouse_speed,input_change_count,final_input_length,edit_distance,time_per_character,error_rate,class
1,2026.0,2,0.1032388598199767,0.1320528211284513,5,5,0,405.2,1.0,0
1,2083.0,2,0.0993176842763664,0.1270207852193995,5,5,0,416.6,1.0,0
1,2012.0,2,0.1031068304838702,0.1334141904184354,5,5,0,402.4,1.0,0
1,1965.0,2,0.1044991494517266,0.1362229102167182,5,5,0,393.0,1.0,0
1,2054.0,2,0.1019119357398289,0.1305637982195845,5,5,0,410.8,1.0,0
1,1995.0,2,0.1046431510551711,0.134886572654813,5,5,0,399.0,1.0,0
1,2010.0,2,0.1031352671589014,0.1334951456310679,5,5,0,402.0,1.0,0
0,2206.0,2,0.0965234731632309,0.119047619047619,6,6,1,367.6666666666667,1.0,0
1,2025.0,3,0.1452559129301525,0.2031690555695226,5,5,0,405.0,1.0,0
1,2058.0,3,0.1448357300256772,0.2038794368827028,5,5,0,411.6,1.0,0
0,2184.0,2,0.0975222988658135,0.1209455744914788,6,6,1,364.0,1.0,0
1,2014.0,2,0.1032159930465015,0.1331719128329297,5,5,0,402.8,1.0,0
1,1993.0,2,0.1046557355831575,0.134886572654813,5,5,0,398.6,1.0,0
0,2017.0,2,0.1027656284330323,0.1330913490623109,5,5,1,403.4,1.0,0
0,2005.0,2,0.1035333422798571,0.1334141904184354,5,5,1,401.0,1.0,0
1,1978.0,2,0.1036680124323111,0.1361386138613861,5,5,0,395.6,1.0,0
0,2227.0,2,0.0957059239482592,0.1177100053504547,6,6,2,371.1666666666667,1.0,0
1,2022.0,2,0.1014531416431306,0.1320528211284513,5,5,0,404.4,1.0,0
1,2191.0,2,0.0965389837944456,0.1198910081743869,5,5,0,438.2,1.0,0
1,2057.0,2,0.1011297234125438,0.1294117647058823,5,5,0,411.4,1.0,0
1,1954.0,3,0.1471287690118508,0.2045948033279052,5,5,0,390.8,1.0,0
1,1996.0,2,0.1046557355831575,0.134886572654813,5,5,0,399.2,1.0,0
1,2089.0,2,0.1008292723031311,0.1279813845258871,5,5,0,417.8,1.0,0
1,2028.0,2,0.1023436351082648,0.1318154583582984,5,5,0,405.6,1.0,0
1,2008.0,2,0.1030385236194073,0.1320528211284513,5,5,0,401.6,1.0,0
1,1994.0,2,0.1042616602363327,0.1349693251533742,5,5,0,398.8,1.0,0
0,1812.0,2,0.1125440170670285,0.151410874053682,4,4,1,453.0,1.0,0
1,1945.0,3,0.1476208021361793,0.2031690555695226,5,5,0,389.0,1.0,0
1,2012.0,2,0.1030385236194073,0.1320528211284513,5,5,0,402.4,1.0,0
1,2026.0,3,0.1461100433028916,0.2038794368827028,5,5,0,405.2,1.0,0
0,2268.0,2,0.0945308810399378,0.1158504476040021,6,6,1,378.0,1.0,0
1,2071.0,2,0.1006960438098162,0.1282051282051282,5,5,0,414.2,1.0,0
1,2188.0,2,0.096784084127381,0.1198910081743869,5,5,0,437.6,1.0,0
1,2006.0,2,0.1045285414407781,0.1345565749235474,5,5,0,401.2,1.0,0
1,1990.0,2,0.1044016244237351,0.1348039215686274,5,5,0,398.0,1.0,0
1,2031.0,2,0.1023831481353506,0.13189448441247,5,5,0,406.2,1.0,0
1,2161.0,2,0.0977517998336266,0.1210787011557512,5,5,0,432.2,1.0,0
